OID,Objektnamn,NO_Askeladden,Count,NAVN,askeladdenid,LokalitetsID,X,Y,LONG,LAT
170,Leitet 8:3f,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
171,Leitet 8:4a,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
172,Leitet 8:5c,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
173,Leitet 8:5a,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
174,Leitet 8:6e,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
175,Leitet 8:6h,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
176,Leitet 8:6d,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
177,Leitet 8:6c,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
178,Leitet 8:6a,145516,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
179,Leitet 8:7b,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
180,Leitet 8:7a,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
181,Leitet 8:8,145526,2,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
182,Leitet 8,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
183,Leitet 8:8a,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
184,Leitet 8:8d,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
185,Leitet 8:8c,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
186,Leitet 8:8b,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
187,Leitet 8:9b,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
188,Teigen 7:1b,145528,1,Vingen Teigen 1,145528-1,145528,-8780.53999527,6892986.41364999,5.31515184465,61.8273713741999
189,Teigen 7:1c,145528,1,Vingen Teigen 1,145528-1,145528,-8780.53999527,6892986.41364999,5.31515184465,61.8273713741999
190,Teigen 7:1a,145528,1,Vingen Teigen 1,145528-1,145528,-8780.53999527,6892986.41364999,5.31515184465,61.8273713741999
191,Teigen 7:1,145528,1,Vingen Teigen 1,145528-1,145528,-8780.53999527,6892986.41364999,5.31515184465,61.8273713741999
192,Teigen 7:10c,145528,1,Vingen Teigen 10,145528-10,145528,-8761.47696093,6892983.49014999,5.31551682608,61.8273708819
193,Teigen 7:11c,145528,1,Vingen Teigen 11,145528-11,145528,-8759.06817507,6892984.27905,5.31555968375,61.8273810693
194,Teigen 7:14a,145528,1,Vingen Teigen,145528,145528,-8766.7893415,6892992.34915,5.31539246733,61.8274422018
195,Teigen 7:15c,145528,1,Vingen Teigen 15,145528-15,145528,-8731.2401,6893003.6401,5.31602596158,61.8275894360999
196,Teigen 7:15b,145528,1,Vingen Teigen 15,145528-15,145528,-8731.2401,6893003.6401,5.31602596158,61.8275894360999
197,Teigen 7:19b,145528,1,Vingen Teigen 19,145528-19,145528,-8783.90619999999,6892992.96121999,5.31507041417,61.8274248311999
198,Teigen 7:20a,145528,1,Vingen Teigen,145528,145528,-8766.7893415,6892992.34915,5.31539246733,61.8274422018
199,Teigen 7:21,145528,1,Vingen Teigen,145528,145528,-8766.7893415,6892992.34915,5.31539246733,61.8274422018
200,Teigen 7:23,145528,1,Vingen Teigen,145528,145528,-8766.7893415,6892992.34915,5.31539246733,61.8274422018
201,Teigen 7:4a,145528,1,Vingen Teigen 4,145528-4,145528,-8771.3119,6892993.13142,5.31530562838,61.8274431035
202,Teigen 7:6,145528,1,Vingen Teigen 6,145528-6,145528,-8769.3852,6892989.52027999,5.31535185203,61.827413714
203,Teigen 7:7d,145528,1,Vingen Teigen 7,145528-7,145528,-8769.5679,6892984.438,5.31536274154,61.8273684985
204,Teigen 7,145528,1,Vingen Teigen 7,145528-7,145528,-8769.5679,6892984.438,5.31536274154,61.8273684985
